metric,m,n,k,metric_name,model,seq
0.49383663943990674,1,1,1,Semantic similarity,Episodic Model,0
0.507172306495527,1,1,1,Semantic similarity,Episodic Model,1
0.5245950991831972,1,1,1,Semantic similarity,Episodic Model,2
0.43202878257487365,1,1,1,Semantic similarity,Episodic Model,3
0.43566783352781024,1,1,1,Semantic similarity,Episodic Model,4
0.44503461688059126,1,1,1,Semantic similarity,Episodic Model,5
0.44548269155970455,1,1,1,Semantic similarity,Episodic Model,6
0.506532088681447,1,1,1,Semantic similarity,Episodic Model,7
0.5012197588486971,1,1,1,Semantic similarity,Episodic Model,8
0.5343290548424737,1,1,1,Semantic similarity,Episodic Model,9
0.5497759626604434,1,1,1,Semantic similarity,Episodic Model,10
0.5244791909762738,1,1,1,Semantic similarity,Episodic Model,11
0.4634671334111241,1,1,1,Semantic similarity,Episodic Model,12
0.4346129910540646,1,1,1,Semantic similarity,Episodic Model,13
0.4914819136522754,1,1,1,Semantic similarity,Episodic Model,14
0.5619579929988332,1,1,1,Semantic similarity,Episodic Model,15
0.47606145468689237,1,1,1,Semantic similarity,Episodic Model,16
0.4980684558537535,1,1,1,Semantic similarity,Episodic Model,17
0.46029093737845195,1,1,1,Semantic similarity,Episodic Model,18
0.4971155192532089,1,1,1,Semantic similarity,Episodic Model,19
0.518545154351122,1,1,1,Semantic similarity,Dummy model,0
0.6684848484848486,1,1,1,Time similarity,Episodic Model,0
0.6141414141414141,1,1,1,Time similarity,Episodic Model,1
0.682020202020202,1,1,1,Time similarity,Episodic Model,2
0.648080808080808,1,1,1,Time similarity,Episodic Model,3
0.643838383838384,1,1,1,Time similarity,Episodic Model,4
0.6795959595959595,1,1,1,Time similarity,Episodic Model,5
0.6802020202020203,1,1,1,Time similarity,Episodic Model,6
0.7375757575757577,1,1,1,Time similarity,Episodic Model,7
0.611111111111111,1,1,1,Time similarity,Episodic Model,8
0.6505050505050505,1,1,1,Time similarity,Episodic Model,9
0.7,1,1,1,Time similarity,Episodic Model,10
0.7082828282828282,1,1,1,Time similarity,Episodic Model,11
0.6747474747474749,1,1,1,Time similarity,Episodic Model,12
0.6810101010101008,1,1,1,Time similarity,Episodic Model,13
0.6434343434343436,1,1,1,Time similarity,Episodic Model,14
0.6975757575757575,1,1,1,Time similarity,Episodic Model,15
0.6555555555555554,1,1,1,Time similarity,Episodic Model,16
0.6547474747474749,1,1,1,Time similarity,Episodic Model,17
0.6000000000000001,1,1,1,Time similarity,Episodic Model,18
0.5488888888888889,1,1,1,Time similarity,Episodic Model,19
0.98989898989899,1,1,1,Time similarity,Dummy model,0
0.92,1,1,1,Inter-episode conectivity,Episodic Model,0
0.84,1,1,1,Inter-episode conectivity,Episodic Model,1
0.96,1,1,1,Inter-episode conectivity,Episodic Model,2
0.9,1,1,1,Inter-episode conectivity,Episodic Model,3
0.86,1,1,1,Inter-episode conectivity,Episodic Model,4
0.94,1,1,1,Inter-episode conectivity,Episodic Model,5
0.94,1,1,1,Inter-episode conectivity,Episodic Model,6
0.86,1,1,1,Inter-episode conectivity,Episodic Model,7
0.96,1,1,1,Inter-episode conectivity,Episodic Model,8
0.9,1,1,1,Inter-episode conectivity,Episodic Model,9
0.92,1,1,1,Inter-episode conectivity,Episodic Model,10
0.94,1,1,1,Inter-episode conectivity,Episodic Model,11
0.92,1,1,1,Inter-episode conectivity,Episodic Model,12
0.94,1,1,1,Inter-episode conectivity,Episodic Model,13
0.92,1,1,1,Inter-episode conectivity,Episodic Model,14
0.86,1,1,1,Inter-episode conectivity,Episodic Model,15
0.96,1,1,1,Inter-episode conectivity,Episodic Model,16
0.94,1,1,1,Inter-episode conectivity,Episodic Model,17
0.96,1,1,1,Inter-episode conectivity,Episodic Model,18
0.86,1,1,1,Inter-episode conectivity,Episodic Model,19
0.08163265306122448,1,1,1,Inter-episode conectivity,Dummy model,0
